1652846043,9.24572728095583/8.45326536589262,4.820180689715755/9.246488363952317,6.661338812599979/2.477660855200169,1.7087171777788512/0.5035626921054706
1652846050,8.993689367886319/5.642970034132136,4.820180689715755/9.246488363952317,7.451285927326353/0.8150924222739224,4.468597648828393/6.306048368973298
1652846058,-0.31731139895116056/5.5001987698758015,5.286546804534112/7.779481614129072,2.950701182775674/3.4848664356480166,11.145842151815373/11.179669246929498
1652846065,-0.31731139895116056/5.5001987698758015,4.541901536108611/1.7389266266014154,-0.2834389302778959/4.463161007489887,11.145842151815373/11.179669246929498
1652846073,-0.31731139895116056/5.5001987698758015,4.541901536108611/1.7389266266014154,-0.2834389302778959/4.463161007489887,11.145842151815373/11.179669246929498
1652846080,-0.31731139895116056/5.5001987698758015,4.541901536108611/1.7389266266014154,-0.2834389302778959/4.463161007489887,7.351875099401809/13.181474043944181
1652846088,-0.31731139895116056/5.5001987698758015,4.541901536108611/1.7389266266014154,-0.2834389302778959/4.463161007489887,7.441066426760983/12.764858295692616
1652846096,-0.31731139895116056/5.5001987698758015,10.781171622586669/7.781093550975367,-0.49687347292672257/9.162532269625576,7.441066426760983/12.764858295692616
1652846103,9.207605926511626/6.243050904761944,12.22493755020949/8.436687720692502,-0.49687347292672257/9.162532269625576,7.441066426760983/12.764858295692616
1652846111,9.23829002832873/6.2694120293210425,6.546277441074579/14.262984691936675,-0.49687347292672257/9.162532269625576,6.478515841470028/10.234175756504138
1652846118,13.390358499656276/3.429050702077922,3.75337681437216/15.45159299981552,3.970594051357068/6.029259674467878,6.478515841470028/10.234175756504138
1652846126,15.13894831102349/5.141272927303623,3.75337681437216/15.45159299981552,0.7195883894426061/5.4624520645291685,2.686127341953636/8.524739205631718
1652846133,14.528743060763638/15.314616040907353,5.24896601366396/7.794148989992554,0.7195883894426061/5.4624520645291685,2.6761316225832843/8.524739205631718
1652846141,14.528743060763638/15.314616040907353,9.228384581536034/3.771636888680658,0.7195883894426061/5.4624520645291685,2.6761316225832843/8.524739205631718
1652846148,9.66154199767298/13.52335493426434,9.246718927205762/5.624662121061443,0.7964005151751508/5.554032400966256,3.4557675361270412/2.747674473565869
1652846156,6.5360078344735095/6.7132047138479285,10.155939361669766/4.8659910502014,4.300712685221015/4.3004596741112096,9.151244518762326/7.198162100327805
1652846163,12.197917739274914/4.552067438356831,14.43165390861384/-0.21220910370254198,2.73593828110279/3.6828224777918956,14.191487285708206/6.448151814059463
1652846171,10.534049724750082/12.294673057031606,11.524980679074446/2.475152790781952,7.245762170806131/9.213104032492266,6.820720264963597/7.237755188792077
1652846178,11.815764199375659/6.914868927772025,10.311977433296619/0.5194691804726517,9.248396215477726/8.711855544294478,6.820720264963597/7.237755188792077
1652846186,5.748030196681059/0.7481027330700569,6.878807433761153/-0.49605842230615893,2.703147286360206/11.466583973506918,6.820720264963597/7.237755188792077
1652846194,5.748030196681059/0.7481027330700569,1.7414562771606938/0.45720789842402065,2.703147286360206/11.466583973506918,0.28460389302097155/4.2846414338231185
1652846201,5.748030196681059/0.7481027330700569,7.288037743063427/0.502430937980811,5.464193847817683/7.698083918580622,-0.4494992908634572/2.741371609700715
1652846209,0.6690717147065497/-0.495984062407832,2.7330819173955945/1.458809089367981,0.7208485611081983/3.5434000320058594,-0.4494992908634572/2.741371609700715
1652846216,-0.2983423162134684/-0.4975578255757376,6.889422902011802/2.404852629184797,5.404983359285438/4.467543464337728,1.6825847271912835/4.681810862572311
1652846224,-0.2983423162134684/-0.4975578255757376,7.310843240331309/2.4708889868118606,6.7721158877018865/8.22679496911599,6.179666894401521/9.179587400722596
1652846231,-0.2983423162134684/-0.4975578255757376,8.217769542406899/2.447828621181161,0.7657563384732953/11.44970137000946,4.387407929769722/11.282905966130308
1652846239,0.24018619385214812/0.23082726082075156,10.26807535786756/1.5393823422995045,1.4670179728063886/5.703614123945679,6.456219862757223/3.74250431953471
1652846246,0.24018619385214812/0.23082726082075156,14.207028721245933/5.207427790274297,4.605987616550806/8.319251225625305,0.6756988399165493/7.475370088822398
1652846254,0.24018619385214812/0.23082726082075156,14.207028721245933/5.207427790274297,6.210537403843432/9.243914425593264,0.6756988399165493/7.475370088822398
1652846261,4.8024580218519635/6.646827602918361,11.381140908204713/6.49221433178812,6.210537403843432/9.243914425593264,0.6756988399165493/7.475370088822398
1652846269,5.498470134771961/13.23041058115483,5.7481660844412374/8.275153804335773,0.6513549275846344/3.309142655907836,7.183885663126375/13.432468350954224
1652846277,5.498470134771961/13.23041058115483,5.501407099257364/2.955042809700906,0.5477555749600356/2.7578501718141863,6.545160354428333/8.752657686242275
1652846284,5.498470134771961/13.23041058115483,4.5364418083502756/-0.28358144896070936,0.5477555749600356/2.7578501718141863,16.304415995041495/10.468450214191789
1652846292,5.500631079856094/5.687613866335131,3.5398332626364777/7.269970341748111,2.8812775636780543/4.88145098759701,7.79070025439853/9.746481783585963
1652846299,12.249725887617581/0.5464370796568125,3.861163748404863/7.110837282009282,0.47120154615913634/11.25986736478663,2.7871010810487746/14.213156776981009
1652846307,12.253231995078522/0.5464370796568125,9.455010011896377/-0.1864686113768962,-0.4646897215798731/13.289708271836288,2.7871010810487746/14.213156776981009
1652846314,12.58132213195585/3.299368459811089,0.7929594535934257/7.433620407744824,0.4629641376665745/8.716520776624042,8.162075320943245/13.5575779393692
1652846322,13.44931110163341/5.23131594546547,0.7831232336476717/7.433620407744824,0.4629641376665745/8.716520776624042,8.244872984502763/13.54626271484704
1652846329,14.229498231386088/5.425469543604382,0.7288869984454891/0.5358758297516115,2.6435917303107317/6.362472859280329,8.244872984502763/13.54626271484704
1652846337,14.229498231386088/5.425469543604382,0.7071535252322292/0.5358758297516115,7.46023286881416/0.7103639892315843,9.457978485490855/8.73658864625701
1652846344,14.229498231386088/5.425469543604382,0.7071535252322292/0.5358758297516115,10.47823186727345/5.3363483363066955,9.457978485490855/8.73658864625701
1652846352,14.229498231386088/5.425469543604382,0.7071535252322292/0.5358758297516115,10.47823186727345/5.3363483363066955,6.524217162522234/3.2453186664219977
1652846359,11.554963576386834/1.7534201445493718,0.7071535252322292/0.5358758297516115,16.281647102534976/3.537294838636119,5.54178492416969/-0.26465235777466967
1652846367,7.702646240727168/0.5332658455296087,0.7071535252322292/0.5358758297516115,12.671333494783653/7.2198913996610745,5.54178492416969/-0.26465235777466967
1652846375,6.76240619399101/1.2890914770226174,0.7071535252322292/0.5358758297516115,6.5605589259540125/8.519478970369248,10.285495911645512/1.463699247889314
1652846382,1.815092024443763/3.4508287163030014,9.21107262928669/0.49956355482732095,5.54319679295395/4.74120204015074,10.285495911645512/1.463699247889314
1652846390,1.815092024443763/3.4508287163030014,9.221193623406464/0.49956355482732095,7.48607506831496/8.057052742137898,10.285495911645512/1.463699247889314
1652846397,2.936604923129036/4.909300255139118,11.460528202504548/7.273327952248389,8.442528943369382/11.155924348325584,10.285495911645512/1.463699247889314
1652846405,9.234754503791937/9.263348905887995,4.730817503556722/1.546795193667915,3.5361546289689727/1.713714572985623,10.285495911645512/1.463699247889314
1652846412,9.193642736011778/9.074273723270043,12.146547471649058/1.4991429956044136,3.5361546289689727/1.713714572985623,10.285495911645512/1.463699247889314
1652846420,2.7641305846060247/2.7641712717551967,8.703240602137924/0.5334372065811537,3.5361546289689727/1.713714572985623,10.492842953905097/4.386527657468455
1652846427,-0.18761322466390995/-0.1875725375147379,0.8091839615773324/9.139459838954537,3.5361546289689727/1.713714572985623,10.499725220109156/10.21073554291975
1652846435,3.891055416624307/3.8906982963223316,0.5254897879425187/10.322096080936625,1.7031140702766834/0.5433485902227759,10.499725220109156/10.21073554291975
1652846442,9.151518071022032/9.151448703888125,0.5254897879425187/10.322096080936625,1.7031140702766834/0.5433485902227759,15.301352634954583/13.40395069352633
1652846450,15.287878312955858/10.46442543025075,1.693189059369189/9.315367435883878,8.715450044583179/7.7154174623583955,8.772146528505289/5.813071828101178
1652846457,9.75774853795371/9.729317720058285,8.189593713137072/2.810367095279304,9.439409037256723/9.254506678329676,8.772146528505289/5.813071828101178
1652846465,7.596200754133539/5.103744546715356,7.690579897043335/1.8590391700703597,9.439409037256723/9.254506678329676,8.772146528505289/5.813071828101178
1652846473,7.549489488113625/4.815960475470934,7.690579897043335/1.8590391700703597,10.489295949540406/16.48880141022275,11.663300409859119/6.318971365789393
1652846480,7.2626670896284455/9.181318732819475,7.690579897043335/1.8590391700703597,2.6969353230724664/14.531889186933865,10.625457814899562/5.296498504143909
1652846488,4.068221715931489/2.1496597891827895,7.501693317987474/5.1269285282908434,2.6969353230724664/14.531889186933865,3.800142435197017/8.20704021933911
1652846495,1.5527990750705607/7.252392097605007,5.532801131650643/11.299552534365564,4.168560685579223/12.838673146779858,3.800142435197017/8.20704021933911
1652846503,1.5527990750705607/7.252392097605007,14.280208600740309/11.499679922932645,9.932655875441242/6.935674235325858,9.436628010216566/0.9603451527812346
1652846510,7.842134950805725/7.498760131231801,14.280208600740309/11.499679922932645,11.459585503248604/10.273885768478706,9.397155530215286/0.7960559506619251
1652846518,10.293588402800637/7.499635099286177,13.099784086104563/10.105857168857254,10.948479255604923/9.943177799381697,6.645624797042103/4.739989463842271
1652846525,6.756594128813697/12.236651268855438,4.792600652720438/2.5702848054228027,9.790791715867613/8.79210341177756,11.243139817722522/8.452115381493385
1652846533,6.756594128813697/12.236651268855438,4.792600652720438/2.5702848054228027,2.538944625088334/5.346065336295259,7.736039695816032/9.288421662466813
1652846540,-0.18281500376600923/15.387263761581405,4.792600652720438/2.5702848054228027,0.7295434404824732/4.540308198369696,5.572483786247801/12.206815388825254
1652846548,4.735207978073632/3.801938092945365,4.792600652720438/2.5702848054228027,0.7295434404824732/4.540308198369696,6.4528518568500886/10.754446417488777
1652846556,3.6832804884573305/3.533451806419227,-0.30464292302957574/3.469479187774624,0.7295434404824732/4.540308198369696,6.4528518568500886/10.754446417488777
1652846563,3.6832804884573305/3.533451806419227,-0.30464292302957574/3.469479187774624,0.7295434404824732/4.540308198369696,2.7713156751688643/14.2287748837951
1652846571,4.470834425939183/6.783608839400998,-0.30464292302957574/3.469479187774624,0.7295434404824732/4.540308198369696,2.7713156751688643/14.2287748837951
1652846578,3.6577148330114246/3.678560477140503,-0.30464292302957574/3.469479187774624,0.7295434404824732/4.540308198369696,2.7713156751688643/14.2287748837951
1652846586,-0.1614956598185997/-0.1614075351880182,-0.30464292302957574/3.469479187774624,3.72299340327163/7.723044407817586,2.7713156751688643/14.2287748837951
1652846593,-0.1614956598185997/-0.1614075351880182,-0.30464292302957574/3.469479187774624,8.224761107835604/9.259221863187154,3.2657755210224764/8.300524292923923
1652846601,5.4948748543664525/5.345990341248672,4.242949779922924/5.4521502944613225,8.224761107835604/9.259221863187154,1.837110718997792/6.840082568875269
1652846608,4.5440357600431005/0.746319962369149,9.213063796408989/7.129481400710603,9.842379617557015/10.846259943840176,1.837110718997792/6.840082568875269
1652846616,12.173254335736331/-0.4482406848879621,1.6888357506990417/8.470183047204905,13.488920635251702/10.620757130874393,5.03720791411132/7.09380096336476
1652846623,12.173254335736331/-0.4482406848879621,1.6888357506990417/8.470183047204905,6.371402048477307/7.467608366176627,3.838505786079054/3.8384247643239426
1652846631,12.388568125691375/0.18564285905966038,1.6888357506990417/8.470183047204905,2.728583356717536/8.460055944516636,3.838505786079054/3.8384247643239426
1652846638,12.393747149208886/0.24667351016282169,2.459082367096215/9.26781430597044,-0.20089601630439802/9.460934915122502,3.838505786079054/3.8384247643239426
1652846646,11.45551395186095/8.514144534439133,1.532603609722429/11.284815857903123,3.521583147119827/5.478457824633246,3.838505786079054/3.8384247643239426
1652846654,3.725717420913436/4.4612973607684125,6.323185230968875/12.473049632534627,8.497587187418901/6.365648546432687,9.260208334442666/6.456790055491152
1652846661,3.725717420913436/4.4612973607684125,6.323185230968875/12.473049632534627,8.160407035224807/7.72831569781321,15.779926904058186/8.55786922737157
1652846669,3.725717420913436/4.4612973607684125,6.498726016057475/6.704177989093511,2.3311215894901807/12.6952676908463,9.715696267276144/9.46389858647866
1652846676,9.193608607546455/5.22702069942214,5.7724535469572515/7.235064031461741,5.817183226530631/10.658435397295237,16.25844307850059/5.543518939954069
1652846684,3.7427984220514965/3.5437950053734957,3.395280348241613/9.317816652472185,15.238347689891441/9.548196076990696,16.25844307850059/5.543518939954069
